ba_code,model,reference,days,skill,skill_low,skill_high,dm_stat,dm_p,flag
MISO,lgbm_global+cqr,operator,366,0.049130955827453304,-0.17323115176594878,0.2277908561156601,-0.4359876433968311,0.6628456948021704,""
NYIS,lgbm_global+cqr,operator,366,-0.5661278053343428,-0.750498301028023,-0.37393706489641465,5.728423362839719,1.013683286463199e-8,""
PJM,lgbm_global+cqr,operator,364,0.025445731480681077,-0.20279164244687836,0.17146597180240253,-0.259781894595751,0.7950320176197405,""
SOCO,lgbm_global+cqr,operator,366,-1.6529748967531441,-2.3121126542465777,-1.1332744646756243,5.210263325255549,1.8857279586716803e-7,""
SWPP,lgbm_global+cqr,operator,366,-0.5379554111168772,-0.8845123511296952,-0.29971826955833886,3.3072771707094097,0.0009420762843851186,operator series changes definition in 2025-05 (data_profile 5.2)
TVA,lgbm_global+cqr,operator,366,-1.0394905380224548,-1.6091834493411104,-0.6611138547377469,4.0252809211034775,0.000056907339122774366,""
CISO,seasonal_naive,operator_debiased,366,-1.59684415230863,-1.9290659498546001,-1.253246141097362,7.758730616310582,8.578364126918751e-15,""
ERCO,seasonal_naive,operator_debiased,366,-2.459328593661723,-2.930320318652459,-1.9737463812294904,8.67632568847782,4.0876048354983004e-18,""
FPL,seasonal_naive,operator_debiased,358,-2.796678845802266,-3.3292857472798985,-2.4490305625543973,14.189763255852071,1.0601602865174509e-45,""
ISNE,seasonal_naive,operator_debiased,366,-4.661627720519684,-5.413229180108813,-3.9614563497682083,10.143641113747877,3.5366610886610034e-24,""
MISO,seasonal_naive,operator_debiased,366,-2.920599868180169,-3.5289674002835003,-2.4597130131618066,8.625725980919546,6.368734457489341e-18,""
NYIS,seasonal_naive,operator_debiased,366,-3.874823854472708,-4.658579105348276,-3.1481031813076568,8.300232067412052,1.0390822348785025e-16,""
PJM,seasonal_naive,operator_debiased,364,-3.273439798366832,-3.8648427779135663,-2.744401918764513,9.63290044817267,5.80668646090416e-22,""
SOCO,seasonal_naive,operator_debiased,366,-9.758124946533842,-12.041203020129487,-7.768999990801656,9.57013192310735,1.0676934748534757e-21,""
SWPP,seasonal_naive,operator_debiased,366,-2.1962844720183794,-2.7438797417373744,-1.7006217233759937,8.561258887246105,1.1164169542144173e-17,""
TVA,seasonal_naive,operator_debiased,366,-3.536724813256611,-4.5553848086285305,-2.851337003557022,7.8486173637699235,4.206488635360958e-15,""
CISO,ridge,operator_debiased,366,-0.6700348135254448,-0.8099833326872373,-0.5545942169912521,9.4374506298163,3.819592708194064e-21,""
ERCO,ridge,operator_debiased,366,-1.3056087646455952,-1.6148880961655965,-0.9920182988577222,7.503991730395078,6.190321128765193e-14,""
FPL,ridge,operator_debiased,358,-1.5370720250543584,-1.8632018312528495,-1.3328998125032625,13.188028066939047,1.0284022987450302e-39,""
ISNE,ridge,operator_debiased,366,-2.629479859714635,-2.9070172580286786,-2.324143386871382,16.141080891297957,1.3122301959522573e-58,""
MISO,ridge,operator_debiased,366,-1.3376289771011942,-1.6033025293035603,-1.1312118383302676,10.16698091645731,2.784043581690619e-24,""
NYIS,ridge,operator_debiased,366,-2.0381139651460893,-2.3346418517127825,-1.776508400162949,12.005304464890763,3.332352769991394e-33,""
PJM,ridge,operator_debiased,364,-1.5505949257181109,-1.846577916152395,-1.3337208600599813,10.425488646363696,1.8968180334391704e-25,""
SOCO,ridge,operator_debiased,366,-6.198764099847198,-7.743044774068008,-5.087936145175114,10.025852389218203,1.1734267456062548e-23,""
SWPP,ridge,operator_debiased,366,-1.008581489170214,-1.2959394450092507,-0.7217384889556674,7.463022229369411,8.456007410711112e-14,""
TVA,ridge,operator_debiased,366,-1.9276423528879074,-2.554608442397972,-1.4957317233623015,6.912688678449852,4.75552850222364e-12,""
CISO,lgbm_global,operator_debiased,366,-0.3052688183260053,-0.40433132753088596,-0.20877155949233442,5.991572554000687,2.0782156993579823e-9,""
ERCO,lgbm_global,operator_debiased,366,-0.8841749911886194,-1.1904204273149832,-0.626528775076949,4.769856319642525,1.8435736809605934e-6,""
FPL,lgbm_global,operator_debiased,358,-1.1352436554803935,-1.3324415174040098,-0.9993961818641599,13.509714819559642,1.3705130821419456e-41,""
ISNE,lgbm_global,operator_debiased,366,-1.9946236650904883,-2.2351539515381855,-1.7261461289068476,14.823083519804463,1.0390320013886152e-49,""
MISO,lgbm_global,operator_debiased,366,-0.655850316131479,-1.0020296342842272,-0.3914044688827644,3.8862749370014935,0.00010179421336639565,""
NYIS,lgbm_global,operator_debiased,366,-1.3477460612140693,-1.5584129149493111,-1.1395299622239483,10.356390261494255,3.914575732778868e-25,""
PJM,lgbm_global,operator_debiased,364,-0.6922136438202029,-1.0742346218567027,-0.4374925025887676,4.171602426722919,0.00003024650404551537,""
